0,1
Beta (3Y Monthly),0.91
52-Week Change,15.50%
S&P500 52-Week Change,8.99%
52 Week High,233.47
52 Week Low,142.00
50-Day Moving Average,183.03
200-Day Moving Average,184.35
Avg Vol (3 month),29.13M
Avg Vol (10 day),22.9M
Shares Outstanding,4.72B
Float,4.46B
% Held by Insiders,0.08%
% Held by Institutions,60.95%
"Shares Short (Mar 15, 2019)",72.75M
"Short Ratio (Mar 15, 2019)",2.9
"Short % of Float (Mar 15, 2019)",1.54%
"Short % of Shares Outstanding (Mar 15, 2019)",1.54%
"Shares Short (prior month Feb 15, 2019)",39.9M
