0,1
Fiscal Year Ends,"Sep 29, 2018"
Most Recent Quarter (mrq),"Dec 29, 2018"
Profit Margin,22.72%
Operating Margin (ttm),25.98%
Return on Assets (ttm),10.89%
Return on Equity (ttm),46.05%
Revenue (ttm),261.61B
Revenue Per Share (ttm),53.82
Quarterly Revenue Growth (yoy),-4.50%
Gross Profit (ttm),101.84B
EBITDA,79.52B
Net Income Avi to Common (ttm),59.43B
Diluted EPS (ttm),12.12
Quarterly Earnings Growth (yoy),-0.50%
Total Cash (mrq),86.43B
Total Cash Per Share (mrq),18.33
Total Debt (mrq),114.73B
Total Debt/Equity (mrq),97.32
Current Ratio (mrq),1.30
Book Value Per Share (mrq),24.92
