Holder,Shares,Date Reported,% Out
Vanguard Total Stock Market Index Fund,"110,521,153","Sep 29, 2018",2.34%
Vanguard 500 Index Fund,"85,435,882","Sep 29, 2018",1.81%
SPDR S&P 500 ETF Trust,"50,343,884","Feb 27, 2019",1.07%
Vanguard Institutional Index Fund-Institutional Index Fund,"43,783,603","Sep 29, 2018",0.93%
"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF","37,362,357","Feb 27, 2019",0.79%
Fidelity 500 Index Fund,"34,399,055","Feb 27, 2019",0.73%
Vanguard Growth Index Fund,"30,726,434","Sep 29, 2018",0.65%
iShares Core S&P 500 ETF,"30,646,288","Feb 27, 2019",0.65%
Vanguard Information Technology Index Fund,"19,643,735","Aug 30, 2018",0.42%
Select Sector SPDR Fund-Technology,"17,873,316","Feb 27, 2019",0.38%
